nj = 6;
due =  [24 24 26 32 32 32];
nm = 4;
Ops = {
 <1 1 1 10 0 5 3 1>
 <1 1 1 7 0 5 5 2>
 <1 1 1 6 0 5 7 3>
 <1 1 1 5 0 5 9 4>
 <1 1 1 4 0 5 13 5>
 <1 2 4 18 1 1 4 1>
 <1 2 4 13 1 1 6 2>
 <1 2 4 11 1 1 9 3>
 <1 2 4 10 1 1 12 4>
 <1 2 4 8 1 1 17 5>
 <2 1 2 10 0 5 3 1>
 <2 1 2 7 0 5 5 2>
 <2 1 2 6 0 5 7 3>
 <2 1 2 5 0 5 9 4>
 <2 1 2 4 0 5 13 5>
 <2 2 4 18 1 2 5 1>
 <2 2 4 13 1 2 8 2>
 <2 2 4 11 1 2 12 3>
 <2 2 4 10 1 2 15 4>
 <2 2 4 8 1 2 22 5>
 <3 1 1 10 0 5 4 1>
 <3 1 1 7 0 5 6 2>
 <3 1 1 6 0 5 9 3>
 <3 1 1 5 0 5 12 4>
 <3 1 1 4 0 5 17 5>
 <3 2 3 20 1 1 3 1>
 <3 2 3 15 1 1 5 2>
 <3 2 3 12 1 1 7 3>
 <3 2 3 11 1 1 9 4>
 <3 2 3 9 1 1 13 5>
 <4 1 2 10 1 5 5 1>
 <4 1 2 7 1 5 8 2>
 <4 1 2 6 1 5 12 3>
 <4 1 2 5 1 5 15 4>
 <4 1 2 4 1 5 22 5>
 <4 2 3 15 0 2 3 1>
 <4 2 3 11 0 2 5 2>
 <4 2 3 9 0 2 7 3>
 <4 2 3 8 0 2 9 4>
 <4 2 3 7 0 2 13 5>
 <4 3 4 12 1 3 4 1>
 <4 3 4 9 1 3 6 2>
 <4 3 4 7 1 3 9 3>
 <4 3 4 6 1 3 12 4>
 <4 3 4 5 1 3 17 5>
 <5 1 1 10 0 5 4 1>
 <5 1 1 7 0 5 6 2>
 <5 1 1 6 0 5 9 3>
 <5 1 1 5 0 5 12 4>
 <5 1 1 4 0 5 17 5>
 <5 2 2 15 0 1 3 1>
 <5 2 2 11 0 1 5 2>
 <5 2 2 9 0 1 7 3>
 <5 2 2 8 0 1 9 4>
 <5 2 2 7 0 1 13 5>
 <5 3 4 12 1 2 3 1>
 <5 3 4 9 1 2 5 2>
 <5 3 4 7 1 2 7 3>
 <5 3 4 6 1 2 9 4>
 <5 3 4 5 1 2 13 5>
 <6 1 1 10 0 5 4 1>
 <6 1 1 7 0 5 6 2>
 <6 1 1 6 0 5 9 3>
 <6 1 1 5 0 5 12 4>
 <6 1 1 4 0 5 17 5>
 <6 2 2 15 0 1 3 1>
 <6 2 2 11 0 1 5 2>
 <6 2 2 9 0 1 7 3>
 <6 2 2 8 0 1 9 4>
 <6 2 2 7 0 1 13 5>
 <6 3 3 12 1 2 4 1>
 <6 3 3 9 1 2 6 2>
 <6 3 3 7 1 2 9 3>
 <6 3 3 6 1 2 12 4>
 <6 3 3 5 1 2 17 5>
};
