m	i	cmax	tc	sec	lmt	gap
CP	1	26	1117	0.075	180	0
Cmax	1	26	1238	0.031	180	0
MIP	1	26	1117	0.266	180	0.000079023
CP	2	30	1213	0.959	180	0
Cmax	2	30	1333	0.034	180	0
MIP	2	30	1213	2.047	180	0.000096114
CP	3	32	1550	0.281	180	0
Cmax	3	32	1715	0.116	180	0
MIP	3	32	1550	2.171	180	0
CP	4	22	1038	3.185	180	0
Cmax	4	22	1133	0.103	180	0
MIP	4	22	1038	20.062	180	0.000096218
CP	5	23	776	0.066	180	0
Cmax	5	23	919	0.044	180	0
MIP	5	23	776	0.125	180	0
CP	6	44	1501	1.586	180	0
Cmax	6	44	1786	0.791	180	0
MIP	6	44	1501	12.562	180	0.00008791
CP	7	34	1441	0.405	180	0
Cmax	7	34	1489	0.035	180	0
MIP	7	34	1441	2.078	180	0
CP	8	65	1752	0.331	180	0
Cmax	8	65	2137	0.065	180	0
MIP	8	65	1752	1.203	180	0.000097375
CP	9	37	1481	2.51	180	0
Cmax	9	37	1646	1.324	180	0
MIP	9	37	1481	10.469	180	0
CP	10	55	2008	3.839	180	0
Cmax	10	55	2330	2.78	180	0
MIP	10	55	2008	72.797	180	0.000099401
