m	i	cmax	tc	sec	lmt	gap
Cmax	1	21	1238	0.032	180	0
CP	1	21	957	0.157	180	0
Cmax	2	17	1333	0.028	180	0
CP	2	17	1269	0.161	180	0
Cmax	3	22	1715	0.027	180	0
CP	3	22	1372	0.064	180	0
Cmax	4	17	1133	0.027	180	0
CP	4	17	982	0.603	180	0
Cmax	5	17	927	0.024	180	0
CP	5	17	686	0.181	180	0
Cmax	6	25	1786	0.065	180	0
CP	6	25	1514	1.208	180	0
Cmax	7	18	1489	0.061	180	0
CP	7	18	1208	0.076	180	0
Cmax	8	37	2137	0.033	180	0
CP	8	37	1760	2.027	180	0
Cmax	9	24	1535	0.032	180	0
CP	9	24	1481	0.137	180	0
Cmax	10	31	2330	0.031	180	0
CP	10	31	1992	1.299	180	0
