m	i	cmax	tc	sec	lmt	gap
Cmax	1	684	76461	180.038	180	0.489766082
save	1	684	71870	180.064	180	0
ws	1	684	71870	180.047	180	0.489766082
CP	1	729	66823	360.079	180	0.521262003
Cmax	2	729	78682	180.051	180	0.559670782
save	2	729	72340	180.064	180	0
ws	2	729	72257	180.052	180	0.559670782
CP	2	780	69870	360.07	180	0.588461538
Cmax	3	742	78978	180.083	180	0.579514825
save	3	742	72402	180.043	180	0
ws	3	742	72396	180.064	180	0.579514825
CP	3	756	70362	360.045	180	0.587301587
Cmax	4	728	80919	180.065	180	0.572802198
save	4	728	76933	180.067	180	0
ws	4	728	76933	180.071	180	0.572802198
CP	4	793	72222	360.111	180	0.587844507
Cmax	5	714	81044	180.059	180	0.515406162
save	5	714	77118	180.085	180	0
ws	5	714	77118	180.058	180	0.515406162
CP	5	801	69960	360.042	180	0.56803995
Cmax	6	832	119997	180.112	180	0.438701923
save	6	832	111857	180.072	180	0
ws	6	832	111775	180.094	180	0.438701923
CP	6	890	107024	360.128	180	0.475280899
Cmax	7	812	118782	180.078	180	0.443349754
save	7	812	106674	180.118	180	0
ws	7	812	106570	180.111	180	0.443349754
CP	7	841	102529	360.091	180	0.46254459
Cmax	8	918	125870	180.089	180	0.448801743
save	8	918	114841	180.124	180	0
ws	8	918	114833	180.123	180	0.448801743
CP	8	955	110761	360.141	180	0.470157068
Cmax	9	851	119873	180.122	180	0.468860165
save	9	851	109183	180.156	180	0
ws	9	851	108188	180.12	180	0.468860165
CP	9	897	102957	360.121	180	0.496098105
Cmax	10	863	128058	180.106	180	0.480880649
save	10	863	119032	180.109	180	0
ws	10	863	118868	180.089	180	0.480880649
CP	10	933	109316	360.113	180	0.51982851
