m	i	cmax	tc	sec	lmt	gap
Cmax	1	387	76663	180.079	180	0.118863049
save	1	387	69450	180.072	180	0
CP	1	404	64698	360.025	180	0.155940594
Obj	1	404	64698	360.066	180	0.155940594
Cmax	2	407	76968	180.049	180	0.223587224
save	2	407	69317	180.067	180	0
CP	2	431	67019	360.079	180	0.266821346
Obj	2	431	67019	360.052	180	0.266821346
Cmax	3	364	79386	180.029	180	0.167582418
save	3	364	72922	180.056	180	0
CP	3	396	67928	360.047	180	0.234848485
Obj	3	396	67928	360.042	180	0.234848485
Cmax	4	391	82443	180.082	180	0.227621483
save	4	391	75159	180.081	180	0
CP	4	410	72385	360.08	180	0.263414634
Obj	4	410	72385	360.074	180	0.263414634
Cmax	5	403	79373	180.055	180	0.163771712
save	5	403	72095	180.089	180	0
CP	5	430	67489	360.092	180	0.21627907
Obj	5	430	67489	360.076	180	0.21627907
Cmax	6	491	121503	180.09	180	0.067209776
save	6	492	110764	180.091	180	0
CP	6	510	107556	360.097	180	0.101960784
Obj	6	510	107556	360.067	180	0.101960784
Cmax	7	456	116963	180.081	180	0.028508772
save	7	456	108328	180.098	180	0
CP	7	482	104479	360.033	180	0.080912863
Obj	7	482	104479	360.109	180	0.080912863
Cmax	8	537	125441	180.151	180	0.074487896
save	8	537	114974	180.084	180	0
CP	8	575	105573	360.08	180	0.135652174
Obj	8	575	105573	360.058	180	0.135652174
Cmax	9	482	119370	180.096	180	0.080912863
save	9	482	111155	180.138	180	0
CP	9	503	105857	360.076	180	0.119284294
Cmax	10	519	125548	180.115	180	0.156069364
save	10	519	113141	180.099	180	0
CP	10	535	109704	360.141	180	0.181308411
